datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2006-01-03,0.0,100000.0,0.0,100000.0,,,
2006-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-11,9061.722564697266,90965.70973510742,1.3,100027.43229980468,0.0002743229980468609,1.0002743229980469,0.0
2006-01-12,9025.981903076172,90965.70973510742,1.3,99991.69163818359,-0.0003573085982450097,0.999916916381836,0.00035740661621086467
2006-01-13,9017.572784423828,90965.70973510742,1.3,99983.28251953125,-8.409817370402806e-05,0.9998328251953125,0.0004414978027343919
2006-01-17,8993.043518066406,90965.70973510742,1.3,99958.75325317383,-0.00024533367718382326,0.9995875325317383,0.0006867904663085955
2006-01-18,8957.306671142578,90965.70973510742,1.3,99923.01640625,-0.00035751593292998596,0.9992301640625,0.0010441589355468794
2006-01-19,8991.642761230469,90965.70973510742,1.3,99957.35249633789,0.00034362543608867924,0.9995735249633789,0.0007007980346679377
2006-01-20,8827.664184570312,90965.70973510742,1.3,99793.37391967773,-0.0016404853926694773,0.9979337391967774,0.002340583801269447
2006-01-23,8859.198760986328,90965.70973510742,1.3,99824.90849609375,0.00031599869988752083,0.9982490849609374,0.0020252380371094114
2006-01-24,8868.311309814453,90965.70973510742,1.3,99834.02104492187,9.128532112279153e-05,0.9983402104492186,0.0019341125488282485
2006-01-25,8876.01547241211,90965.70973510742,1.3,99841.72520751953,7.716971145721452e-05,0.9984172520751952,0.0018570709228517002
2006-01-26,8925.069427490234,90965.70973510742,1.3,99890.77916259765,0.0004913171820315476,0.9989077916259764,0.0013665313720704342
2006-01-27,9007.76138305664,90965.70973510742,1.3,99973.47111816406,0.0008278237116541298,0.9997347111816405,0.0005396118164063823
2006-01-30,9000.752258300781,90965.70973510742,1.3,99966.4619934082,-7.010984691702138e-05,0.999664619934082,0.0006097030639649059
2006-01-31,8934.880828857422,90965.70973510742,1.3,99900.59056396484,-0.0006589352881939403,0.9990059056396484,0.0012684173583984437
2006-02-01,8997.250366210938,90965.70973510742,1.3,99962.96010131836,0.0006243160025523053,0.9996296010131835,0.0006447219848633168
2006-02-02,8892.835235595703,90965.70973510742,1.3,99858.54497070312,-0.0010445382020440874,0.9985854497070312,0.0016888732910156357
2006-02-03,8848.686981201172,90965.70973510742,1.3,99814.39671630859,-0.00044210792784415975,0.998143967163086,0.0021303558349609064
2006-02-06,8871.81167602539,90965.70973510742,1.3,99837.52141113281,0.0002316769482657577,0.9983752141113281,0.0018991088867187367
2006-02-07,8793.32504272461,90965.70973510742,1.3,99759.03477783203,-0.0007861436481136908,0.9975903477783203,0.00268397521972652
2006-02-08,8873.214721679688,90965.70973510742,1.3,99838.9244567871,0.0008008265029126882,0.9983892445678711,0.0018850784301757129
2006-02-09,8858.49838256836,90965.70973510742,1.3,99824.20811767578,-0.00014740081778119585,0.998242081176758,0.002032241821288916
2006-02-10,8874.613952636719,90965.70973510742,1.3,99840.32368774414,0.00016143949821634251,0.9984032368774416,0.0018710861206052698
2006-02-13,8858.49838256836,90965.70973510742,1.3,99824.20811767578,-0.00016141343971165512,0.998242081176758,0.002032241821288916
2006-02-14,8952.398681640625,90965.70973510742,1.3,99918.10841674804,0.0009406565886460605,0.9991810841674806,0.0010932388305662233
2006-02-15,8983.934020996094,90965.70973510742,1.3,99949.64375610351,0.0003156118530980301,0.9994964375610352,0.0007778854370116273
2006-02-16,9051.21078491211,90965.70973510742,1.3,100016.92052001953,0.0006731065903564648,1.0001692052001954,0.000105117797851495
2006-02-17,9026.6845703125,90965.70973510742,1.3,99992.39430541992,-0.000245220653386391,0.9999239430541992,0.00035037994384767845
2006-02-21,9004.259490966797,90965.70973510742,1.3,99969.96922607422,-0.000224267850584825,0.9996996922607421,0.0005746307373047932
2006-02-22,9058.917236328125,90965.70973510742,1.3,100024.62697143554,0.0005467416443605266,1.0002462697143555,2.8053283691376052e-05
2006-02-23,9045.604705810547,90965.70973510742,1.3,100011.31444091797,-0.0001330925285167872,1.0001131444091798,0.0001611785888671058
2006-02-24,9068.728637695312,90965.70973510742,1.3,100034.43837280273,0.00023121315837149048,1.0003443837280275,0.0
2006-02-27,9072.234344482422,90965.70973510742,1.3,100037.94407958984,3.504499894368962e-05,1.0003794407958986,0.0
